iter	TotalF1	MultiClass
0	0.3767817251	1.370916229
1	0.3705558802	1.357151264
2	0.3895289908	1.344346271
3	0.3983629375	1.332826757
4	0.3901119435	1.324665998
5	0.3935291657	1.315578258
6	0.3895941988	1.309484968
7	0.415519444	1.294563817
8	0.4368197267	1.278746504
9	0.443167713	1.264793199
10	0.4491741367	1.253446886
11	0.4521401623	1.243026447
12	0.4562723194	1.23361626
13	0.4631386707	1.224153528
14	0.4644285705	1.21642971
15	0.4669594031	1.208826346
16	0.4719143445	1.200911873
17	0.4740544134	1.194315428
18	0.4756908398	1.188294586
19	0.4769328815	1.182346127
20	0.4774836142	1.177903614
21	0.4784284543	1.172765455
22	0.4792179112	1.167948375
23	0.4821639954	1.163459591
24	0.4841393237	1.159100018
25	0.4838983221	1.156366867
26	0.4847781732	1.15282729
27	0.4869441984	1.14909037
28	0.4887845682	1.145427074
29	0.4892920391	1.142618275
30	0.4902851416	1.140480409
31	0.4905903714	1.138105932
32	0.4915887122	1.135490056
33	0.4927942792	1.13365473
34	0.4938641271	1.13119698
35	0.4950337793	1.129279702
36	0.4964485167	1.127130881
37	0.4963820353	1.125061162
38	0.4971185332	1.122741532
39	0.4974869737	1.121037314
40	0.4980956592	1.119753888
41	0.498299587	1.119137121
42	0.4985292927	1.117779068
43	0.4985983857	1.116666126
44	0.4993186712	1.114993643
45	0.4994918756	1.113658193
46	0.5012673083	1.11160009
47	0.5022779161	1.109760445
48	0.5020614865	1.108322047
49	0.5034118078	1.106405898
50	0.5043537101	1.104812692
51	0.5049357731	1.10300495
52	0.5048601714	1.10232636
53	0.5046853388	1.101384373
54	0.5066501784	1.099510003
55	0.5077308969	1.098147724
56	0.508668296	1.097061566
57	0.5090501216	1.095960118
58	0.508971936	1.095815431
59	0.5096132114	1.094986649
60	0.509386629	1.094254712
61	0.5098737709	1.0933724
62	0.5098414856	1.092705759
63	0.5102153798	1.092398639
64	0.5103965654	1.091643882
65	0.5108466669	1.090819794
66	0.5110193549	1.08975306
67	0.5112610786	1.089116609
68	0.512087064	1.088485126
69	0.5129256061	1.087583271
70	0.51312446	1.086925538
71	0.5134447513	1.085948741
72	0.5139108225	1.085328343
73	0.5145466755	1.084018584
74	0.5141613658	1.083696284
75	0.5146710978	1.083244061
76	0.5145269846	1.082780194
77	0.5148226228	1.082300808
78	0.5153716535	1.081685019
79	0.5151126936	1.081279451
80	0.5152102224	1.081137225
81	0.5167681448	1.07905414
82	0.5179254552	1.076937629
83	0.5176902698	1.076377556
84	0.5183151018	1.075934552
85	0.5181291048	1.075881251
86	0.5178993135	1.075858755
87	0.5178511995	1.075550012
88	0.5178674498	1.075314083
89	0.5180097255	1.07531326
90	0.5179836059	1.075309437
91	0.5185306388	1.074401815
92	0.5184938897	1.074384048
93	0.5186452134	1.07432095
94	0.5200272703	1.073242628
95	0.5200122919	1.073242155
96	0.5210112238	1.072155131
97	0.5211261897	1.072062267
98	0.521360639	1.071794235
99	0.5212777149	1.071778941
100	0.5214005587	1.071680546
101	0.5219034201	1.071269977
102	0.5226866781	1.070675747
103	0.5230123583	1.070314531
104	0.5232205445	1.069887179
105	0.5230991909	1.069692812
106	0.5238954909	1.069133787
107	0.5247437146	1.068436284
108	0.5248786906	1.067547353
109	0.5257832673	1.066378102
110	0.5259103759	1.066029868
111	0.5264251025	1.06548085
112	0.5264018269	1.065480739
113	0.5268884	1.065179684
114	0.5269465661	1.064596589
115	0.5273965219	1.064141316
116	0.5287494035	1.062610102
117	0.5292222816	1.062014821
118	0.5295519627	1.061238471
119	0.5297498087	1.060924229
120	0.5297639207	1.060640879
121	0.5300028662	1.060231458
122	0.5307270502	1.05913458
123	0.530977162	1.059081259
124	0.5308754746	1.058642724
125	0.5307576535	1.058542821
126	0.5311152051	1.058077434
127	0.5314072483	1.057942964
128	0.5312456392	1.057809842
129	0.5323786127	1.057108017
130	0.5321742612	1.05703443
131	0.5327721273	1.056609663
132	0.533300537	1.056312176
133	0.5339181505	1.055487104
134	0.534368966	1.05473196
135	0.5360090565	1.052620341
136	0.5360157984	1.052600698
137	0.5360158223	1.052595745
138	0.5360496921	1.052592978
139	0.5360620496	1.052592759
140	0.5360115569	1.052221662
141	0.5359883185	1.052221557
142	0.53605818	1.052217013
143	0.5364813085	1.05127878
144	0.5367503775	1.050857834
145	0.5374306022	1.0497257
146	0.5381311464	1.049178945
147	0.5382050874	1.049178777
148	0.5384425999	1.04898894
149	0.5384076905	1.048988921
150	0.5386774523	1.04872943
151	0.5387887945	1.048466456
152	0.5387350521	1.048279724
153	0.5387373296	1.048279711
154	0.5390582387	1.047832072
155	0.5389775443	1.047820742
156	0.5393513948	1.04750797
157	0.5397554511	1.047091405
158	0.5399387407	1.047075922
159	0.5406307966	1.046555823
160	0.5403501939	1.045822486
161	0.5403492633	1.045431975
162	0.5410773238	1.044396361
163	0.5412366996	1.044087565
164	0.5421452669	1.043483745
165	0.5427848296	1.04153574
166	0.5429736804	1.041382798
167	0.5431044988	1.041183774
168	0.5431068079	1.041183757
169	0.5436307839	1.040340895
170	0.5434007075	1.039979967
171	0.5437170067	1.039363771
172	0.544102293	1.03912301
173	0.5442902136	1.038761268
174	0.5443017046	1.038761251
175	0.5449731424	1.038030239
176	0.5465475054	1.036198326
177	0.5469704715	1.035556403
178	0.5468839776	1.035386351
179	0.5468332531	1.035360605
180	0.5475436769	1.034654563
181	0.5478984967	1.034367597
182	0.5476926214	1.034237036
183	0.5481972432	1.033467066
184	0.5484803871	1.033259416
185	0.5496414374	1.031696282
186	0.5496168604	1.031696252
187	0.5501748848	1.031068361
188	0.5503702906	1.030733249
189	0.5502703525	1.030529447
190	0.5502736563	1.030529422
191	0.550345555	1.030526518
192	0.5503269805	1.030526498
193	0.5502713326	1.030525711
194	0.5509809458	1.029610057
195	0.5527001479	1.028407444
196	0.5525745462	1.028387255
197	0.5525537505	1.028208128
198	0.5524499983	1.028069067
199	0.5525957382	1.027485414
200	0.5525957382	1.027485397
201	0.5532300548	1.026926117
202	0.5538534995	1.026529775
