iter	Passed	Remaining
0	1677	2011217
1	2652	1588708
2	5868	2341709
3	6217	1859095
4	6348	1517247
5	6692	1331797
6	6782	1155995
7	7112	1059727
8	7435	983919
9	7801	928355
10	8176	883802
11	9063	897286
12	9409	859134
13	13391	1134486
14	13872	1095919
15	14468	1070634
16	14853	1033621
17	15925	1045781
18	18377	1142329
19	20093	1185510
20	20276	1138373
21	20572	1101572
22	20831	1066012
23	21060	1031971
24	21298	1001014
25	21501	970868
26	21716	943458
27	21957	919059
28	22203	896558
29	22422	874482
30	22571	851156
31	22857	834294
32	23133	818074
33	23445	804054
34	25087	835064
35	27029	873955
36	29046	913001
37	29327	896802
38	29579	880545
39	29824	864924
40	30062	849811
41	30148	831238
42	30356	816812
43	30569	803154
44	30820	791054
45	31102	780267
46	31336	768752
47	31567	757619
48	31813	747285
49	32099	738277
50	32355	728957
51	32601	719734
52	32848	710888
53	33064	701709
54	33344	694175
55	33560	685599
56	33763	677052
57	33987	669211
58	34089	659247
59	34335	652379
60	34587	645825
61	34823	639182
62	35039	632384
63	35288	626363
64	35484	619609
65	35696	613328
66	35942	607805
67	36152	601838
68	36419	596958
69	36756	593362
70	37000	588365
71	37204	582864
72	37422	577745
73	37632	572630
74	37843	567653
75	38058	562858
76	38300	558595
77	38560	554682
78	38764	550066
79	38994	545917
80	39100	540170
81	39350	536509
82	39604	532984
83	39849	529431
84	40071	525644
85	40142	519990
86	40190	514164
87	40432	510915
88	40641	507328
89	40668	501574
90	40706	496083
91	40916	492777
92	40959	487547
93	41018	482617
94	41274	480083
95	41300	474954
96	41524	472179
97	41609	467891
98	41842	465338
99	41886	460746
100	41968	456668
101	42239	454696
102	42505	452700
103	42756	450592
104	42985	448274
105	43265	446533
106	43507	444423
107	43764	442507
108	44010	440506
109	44262	438599
110	44485	436439
111	44961	436768
112	45151	434328
113	46166	439795
114	46966	443115
115	47854	447193
116	48988	453460
117	50705	464947
118	51719	469825
119	52670	474031
120	53611	478072
121	54491	481490
122	55467	485678
123	56166	487380
124	57092	490991
125	57722	492017
126	58693	495886
127	59602	499171
128	60558	502776
129	61418	505524
130	62178	507397
131	64109	518700
132	66828	536134
133	67187	534489
134	67433	531978
135	67711	529745
136	67775	525882
137	67827	521973
138	67875	518100
139	67912	514196
140	68153	511874
141	68190	508067
142	68271	504639
143	68494	502290
144	68732	500087
145	68972	497924
146	69207	495751
147	69243	492190
148	69479	490089
149	69506	486543
150	69776	484740
151	70023	482793
152	70270	480869
153	70300	477496
154	70516	475420
155	70591	472422
156	70872	470830
157	71158	469286
158	71255	466518
159	71495	464722
160	71748	463021
161	71992	461286
162	72263	459738
163	72491	457936
164	72749	456336
165	72987	454634
166	73236	453011
167	73492	451452
168	73520	448519
169	73773	446980
170	73976	445159
171	74234	443680
172	74492	442220
173	74792	441017
174	74821	438238
175	75068	436763
176	75365	435586
177	75616	434159
178	75906	432961
179	76053	430972
180	76362	429907
181	76602	428469
182	76850	427088
183	77112	425792
184	77350	424383
185	77616	423137
186	77647	420622
187	77885	419255
188	78146	418019
189	78394	416729
190	78443	414396
191	78486	412051
192	78513	409651
193	78555	407356
194	78818	406217
195	79071	405040
196	79157	403019
197	79366	401642
198	79578	400291
199	79836	399182
200	79863	396935
201	80067	395581
202	80308	394423
203	80579	393418
204	80799	392174
205	80828	390016
206	81068	388895
207	81326	387863
208	81547	386665
